"Cod_Curso";"Semestre";"Nom_Curso";"JORNADA";"Grupo";"Programa";"Cupo_Max";"No_Estud"
12190101;"PRIMER SEMESTRE";"ALGEBRA MODERNA";DIURNO;A;"INGENIERIA DE SOFTWARE Y COMPUTACION";28;29
12190102;"PRIMER SEMESTRE";"INTRODUCCION A LA INGENIERÍA";DIURNO;A;"INGENIERIA DE SOFTWARE Y COMPUTACION";28;26
12190103;"PRIMER SEMESTRE";"INTRODUCCIÓN  A LA PROGRAMACIÓN";DIURNO;A;"INGENIERIA DE SOFTWARE Y COMPUTACION";31;31
12190101;"PRIMER SEMESTRE";"ALGEBRA MODERNA";DIURNO;B;"INGENIERIA DE SOFTWARE Y COMPUTACION";30;29
12190102;"PRIMER SEMESTRE";"INTRODUCCION A LA INGENIERÍA";DIURNO;B;"INGENIERIA DE SOFTWARE Y COMPUTACION";26;26
12190103;"PRIMER SEMESTRE";"INTRODUCCIÓN  A LA PROGRAMACIÓN";DIURNO;B;"INGENIERIA DE SOFTWARE Y COMPUTACION";23;23
12190101;"PRIMER SEMESTRE";"ALGEBRA MODERNA";NOCTURNA;A;"INGENIERIA DE SOFTWARE Y COMPUTACION";20;11
12190102;"PRIMER SEMESTRE";"INTRODUCCION A LA INGENIERÍA";NOCTURNA;A;"INGENIERIA DE SOFTWARE Y COMPUTACION";20;8
12190103;"PRIMER SEMESTRE";"INTRODUCCIÓN  A LA PROGRAMACIÓN";NOCTURNA;A;"INGENIERIA DE SOFTWARE Y COMPUTACION";20;7
12190204;"SEGUNDO SEMESTRE";"CALCULO I";DIURNO;A;"INGENIERIA DE SOFTWARE Y COMPUTACION";50;20
12190205;"SEGUNDO SEMESTRE";"ALGEBRA LINEAL";DIURNO;A;"INGENIERIA DE SOFTWARE Y COMPUTACION";32;29
12190206;"SEGUNDO SEMESTRE";"FISICA I";DIURNO;A;"INGENIERIA DE SOFTWARE Y COMPUTACION";31;31
