"Programa";"Cod_Curso";"Cod_semestre";"Semestre";"Nom_Curso";"Cod_Jornada";"JORNADA";"Grupo";"No_Estud";"Prom_Nota";"Habilitan";"PierdenH";"Pierden_Total"
"INGENIERIA DE SOFTWARE Y COMPUTACION";12190101;N1;"PRIMER SEMESTRE";"ALGEBRA MODERNA";S001;DIURNO;A;29;3;6;0;14
"INGENIERIA DE SOFTWARE Y COMPUTACION";12190102;N1;"PRIMER SEMESTRE";"INTRODUCCION A LA INGENIERÍA";S001;DIURNO;A;38;"3,1";0;0;6
"INGENIERIA DE SOFTWARE Y COMPUTACION";12190103;N1;"PRIMER SEMESTRE";"INTRODUCCIÓN  A LA PROGRAMACIÓN";S001;DIURNO;A;20;"3,3";0;0;6
"INGENIERIA DE SOFTWARE Y COMPUTACION";12190103;N1;"PRIMER SEMESTRE";"INTRODUCCIÓN  A LA PROGRAMACIÓN";S001;DIURNO;B;20;"3,8";0;0;3
"INGENIERIA DE SOFTWARE Y COMPUTACION";12190204;N2;"SEGUNDO SEMESTRE";"CALCULO I";S001;DIURNO;A;24;"2,8";5;3;10
"INGENIERIA DE SOFTWARE Y COMPUTACION";12190204;N2;"SEGUNDO SEMESTRE";"CALCULO I";S001;DIURNO;B;24;"3,5";9;0;5
"INGENIERIA DE SOFTWARE Y COMPUTACION";12190204;N2;"SEGUNDO SEMESTRE";"CALCULO I";S001;DIURNO;C;28;"2,8";6;0;10
"INGENIERIA DE SOFTWARE Y COMPUTACION";12190205;N2;"SEGUNDO SEMESTRE";"ALGEBRA LINEAL";S001;DIURNO;A;30;"3,5";2;0;2
"INGENIERIA DE SOFTWARE Y COMPUTACION";12190205;N2;"SEGUNDO SEMESTRE";"ALGEBRA LINEAL";S001;DIURNO;B;31;"3,3";9;0;5
"INGENIERIA DE SOFTWARE Y COMPUTACION";12190205;N2;"SEGUNDO SEMESTRE";"ALGEBRA LINEAL";S001;DIURNO;C;30;"2,2";5;4;14
"INGENIERIA DE SOFTWARE Y COMPUTACION";12190206;N2;"SEGUNDO SEMESTRE";"FISICA I";S001;DIURNO;A;28;"1,9";0;0;21
"INGENIERIA DE SOFTWARE Y COMPUTACION";12190206;N2;"SEGUNDO SEMESTRE";"FISICA I";S001;DIURNO;B;22;"1,9";0;0;15
"INGENIERIA DE SOFTWARE Y COMPUTACION";12190206;N2;"SEGUNDO SEMESTRE";"FISICA I";S001;DIURNO;C;31;"2,4";0;0;15
"INGENIERIA DE SOFTWARE Y COMPUTACION";12190207;N2;"SEGUNDO SEMESTRE";"PROGRAMACION I";S001;DIURNO;A;14;"3,3";0;0;2
