Cod_Curso;Semestre;Cod_Semestre;Nom_Curso;Prerrequisito
12190101;PRIMER SEMESTRE;1;ALGEBRA MODERNA;NA
12190102;PRIMER SEMESTRE;1;INTRODUCCION A LA INGENIERÍA;NA
12190103;PRIMER SEMESTRE;1;INTRODUCCIÓN  A LA PROGRAMACIÓN;NA
12190204;SEGUNDO SEMESTRE;2;CALCULO I;ALGEBRA MODERNA
12190205;SEGUNDO SEMESTRE;2;ALGEBRA LINEAL;ALGEBRA MODERNA
12190206;SEGUNDO SEMESTRE;2;FISICA I;ALGEBRA MODERNA
12190207;SEGUNDO SEMESTRE;2;PROGRAMACION I;INTRODUCCIÓN  A LA PROGRAMACIÓN
12190308;TERCER SEMESTRE;3;CALCULO II;CALCULO I
12190309;TERCER SEMESTRE;3;MATEMATICAS DISCRETAS;ALGEBRA LINEAL
12190310;TERCER SEMESTRE;3;FISICA II;FISICA I
12190311;TERCER SEMESTRE;3;ARQUITECTURA DE COMPUTADORES;PROM
12190312;TERCER SEMESTRE;3;PROGRAMACION II;PROGRAMACION I
12190413;CUARTO SEMESTRE;4;ECUACIONES DIFERENCIALES;CALCULO II
12190414;CUARTO SEMESTRE;4;BASE DE DATOS I;PROM
12190415;CUARTO SEMESTRE;4;ESTRUCTURA DE DATOS;PROGRAMACION II
12190416;CUARTO SEMESTRE;4;INGENIERIA DEL SOFTWARE I;PROM
12190517;QUINTO SEMESTRE;5;PROBABILIDAD COMPUTACIONAL Y ESTADISTICA;ECUACIONES DIFERENCIALES
12190518;QUINTO SEMESTRE;5;BASE DE DATOS II;BASE DE DATOS I
12190519;QUINTO SEMESTRE;5;COMPLEJIDAD ALGORITMICA;PROM
12190520;QUINTO SEMESTRE;5;DESARROLLO  APLICACIONES  WEB;ESTRUCTURA DE DATOS
12190521;QUINTO SEMESTRE;5;INGENIERIA DEL SOFTWARE  II;INGENIERIA DEL SOFTWARE I
12190622;SEXTO SEMESTRE;6;ANALISIS NUMÉRICO;PROM
12190623;SEXTO SEMESTRE;6;ARQUITECTURA DE SISTEMAS OPERATIVOS;PROM
12190624;SEXTO SEMESTRE;6;BASE DE DATOS AVANZADAS;BASE DE DATOS II
12190625;SEXTO SEMESTRE;6;TEORIA DE LA COMPUTACION;COMPLEJIDAD ALGORITMICA
12190626;SEXTO SEMESTRE;6;DESARROLLO DE APLICACIONES MÓVILES;DESARROLLO  APLICACIONES  WEB
12190627;SEXTO SEMESTRE;6;CALIDAD DEL SOFTWARE  I;INGENIERIA DEL SOFTWARE  II
12190728;SEPTIMO SEMESTRE;7;MODELADO PARA LA COMPUTACIÓN;ANALISIS NUMÉRICO
12190729;SEPTIMO SEMESTRE;7;REDES DE COMPUTADORES;ARQUITECTURA DE SISTEMAS OPERATIVOS
12190730;SEPTIMO SEMESTRE;7;SEGURIDAD INFORMATICA;BASE DE DATOS AVANZADAS
12190731;SEPTIMO SEMESTRE;7;ARQUITECTURA DE SOFTWARE;DESARROLLO DE APLICACIONES MÓVILES
12190732;SEPTIMO SEMESTRE;7;CALIDAD DE SOFTWARE II;CALIDAD DEL SOFTWARE  I
12190833;OCTAVO SEMESTRE;8;GESTIÓN DE REDES;REDES DE COMPUTADORES
12190834;OCTAVO SEMESTRE;8;SISTEMA DE INFORMACIÓN EMPRESARIAL;ARQUITECTURA DE SOFTWARE
12190835;OCTAVO SEMESTRE;8;ELECTIVA I (Optativa);PROM
12190836;OCTAVO SEMESTRE;8;ELECTIVA III (Especializada);PROM
12190837;OCTAVO SEMESTRE;8;ELECTIVA V (Especizalizada);PROM
12190938;NOVENO SEMESTRE;9;HCI;PROM
12190939;NOVENO SEMESTRE;9;PRACTICA PROFESIONAL;PROM
12190940;NOVENO SEMESTRE;9;GESTIÓN TECNOLÓGICA Y FINANCIERA;PROM
12190941;NOVENO SEMESTRE;9;ELECTIVA II (Optativa);ELECTIVA I (Optativa)
12190942;NOVENO SEMESTRE;9;ELECTIVA IV (Especializada);ELECTIVA III (Especializada)
12190943;NOVENO SEMESTRE;9;ELECTIVA VI (Especializada);ELECTIVA V (Especizalizada)
